countrycode,year,rgdpo,pop,hc,cn,region
ABW,2005,4568.4189,.100031,,25921.635,Latin America & Caribbean
ABW,2006,4846.3828,.100834,,28037.543,Latin America & Caribbean
ABW,2007,4755.2432,.101222,,30025.533,Latin America & Caribbean
ABW,2008,4888.0215,.101358,,32061.746,Latin America & Caribbean
ABW,2009,4247.3374,.101455,,33503.965,Latin America & Caribbean
ABW,2010,3933.4678,.101669,,34614.176,Latin America & Caribbean
ABW,2011,4009.2324,.102046,,35534.961,Latin America & Caribbean
ABW,2012,3899.8132,.10256,,32822.875,Latin America & Caribbean
ABW,2013,4674.0977,.103159,,28567.582,Latin America & Caribbean
ABW,2014,4075.2012,.103774,,26377.217,Latin America & Caribbean
ABW,2015,3921.1833,.104341,,23630.027,Latin America & Caribbean
ABW,2016,3320.9768,.104872,,20386.877,Latin America & Caribbean
ABW,2017,3062.5806,.105366,,18128.182,Latin America & Caribbean
ABW,2018,3444.6587,.105845,,18285.027,Latin America & Caribbean
ABW,2019,3467.2996,.106314,,18458.135,Latin America & Caribbean
AGO,1950,,,,,Sub-Saharan Africa
AGO,1951,,,,,Sub-Saharan Africa
AGO,1952,,,,,Sub-Saharan Africa
AGO,1953,,,,,Sub-Saharan Africa
AGO,1954,,,,,Sub-Saharan Africa
AGO,1955,,,,,Sub-Saharan Africa
AGO,1956,,,,,Sub-Saharan Africa
AGO,1957,,,,,Sub-Saharan Africa
AGO,1958,,,,,Sub-Saharan Africa
AGO,1959,,,,,Sub-Saharan Africa
AGO,1960,,,,,Sub-Saharan Africa
AGO,1961,,,,,Sub-Saharan Africa
AGO,1962,,,,,Sub-Saharan Africa
AGO,1963,,,,,Sub-Saharan Africa
AGO,1964,,,,,Sub-Saharan Africa
AGO,1965,,,,,Sub-Saharan Africa
AGO,1966,,,,,Sub-Saharan Africa
AGO,1967,,,,,Sub-Saharan Africa
AGO,1968,,,,,Sub-Saharan Africa
AGO,1969,,,,,Sub-Saharan Africa
AGO,1970,28522.482,5.890365,1.0156858,117665.38,Sub-Saharan Africa
AGO,1971,30435.85,6.040776999999999,1.0181956,124875.6,Sub-Saharan Africa
AGO,1972,30127.363,6.248552,1.0207115,131892.45,Sub-Saharan Africa
AGO,1973,32514.119,6.496962,1.0232338,139471.67,Sub-Saharan Africa
AGO,1974,32680.584,6.76138,1.0257622,147591.69,Sub-Saharan Africa
AGO,1975,30533.283,7.024,1.0282968,154499.95,Sub-Saharan Africa
AGO,1976,29695.131,7.279509,1.0308378,160158.77,Sub-Saharan Africa
AGO,1977,31375.713,7.533735,1.033385,166377.55,Sub-Saharan Africa
AGO,1978,28078.902,7.790706999999999,1.0359385,171251.27,Sub-Saharan Africa
AGO,1979,28697.123,8.058066999999999,1.0384983,176409.98,Sub-Saharan Africa
AGO,1980,28927.42,8.341289,1.0410644,180757.3,Sub-Saharan Africa
AGO,1981,28634.074,8.640445999999999,1.0503808,186040.41,Sub-Saharan Africa
AGO,1982,28998.656,8.95295,1.0597806,192321.42,Sub-Saharan Africa
AGO,1983,29083.146,9.278096,1.0692644,195526.08,Sub-Saharan Africa
AGO,1984,31850.689,9.614754,1.0788332,199768.94,Sub-Saharan Africa
AGO,1985,32966.547,9.961997,1.0884875,202318.23,Sub-Saharan Africa
AGO,1986,29358.68,10.320111,1.0982283,203324.09,Sub-Saharan Africa
AGO,1987,32969.547,10.68925,1.1080563,205178.72,Sub-Saharan Africa
AGO,1988,31056.705,11.06805,1.1179721,205934.48,Sub-Saharan Africa
AGO,1989,33118.723,11.454777,1.1279768,205976.73,Sub-Saharan Africa
AGO,1990,35987.328,11.848386,1.1380709,205150.38,Sub-Saharan Africa
AGO,1991,33312.191,12.248901,1.1530401,211975.33,Sub-Saharan Africa
AGO,1992,38985.789,12.657366,1.1682062,228045.59,Sub-Saharan Africa
AGO,1993,33555.559,13.075049,1.1835717,238812.81,Sub-Saharan Africa
AGO,1994,35790.539,13.503747,1.1991394,248751.48,Sub-Saharan Africa
AGO,1995,31983.105,13.945206,1.2149117,262873.25,Sub-Saharan Africa
AGO,1996,40620.82,14.400719,1.2308916,286898.13,Sub-Saharan Africa
AGO,1997,41782.32,14.87157,1.2470816,301459.94,Sub-Saharan Africa
AGO,1998,43945.715,15.359601,1.2634847,325978.31,Sub-Saharan Africa
AGO,1999,42790.301,15.866869,1.2801034,342108.78,Sub-Saharan Africa
AGO,2000,36538.809,16.395473,1.2969408,343557.88,Sub-Saharan Africa
AGO,2001,39557.391,16.945753,1.3084863,345280.34,Sub-Saharan Africa
AGO,2002,44386.855,17.519417,1.3201346,348801.59,Sub-Saharan Africa
AGO,2003,48612.578,18.121479,1.3318866,356889.25,Sub-Saharan Africa
AGO,2004,58740.801,18.758145,1.3437433,368675.78,Sub-Saharan Africa
AGO,2005,79999.516,19.433602,1.3557056,383938.63,Sub-Saharan Africa
AGO,2006,106584.09,20.149901,1.3677742,413600.41,Sub-Saharan Africa
AGO,2007,121459.45,20.905363,1.3799504,475123.81,Sub-Saharan Africa
AGO,2008,150207.28,21.695634,1.3922349,581048.69,Sub-Saharan Africa
AGO,2009,115505.34,22.514281,1.4046288,731489,Sub-Saharan Africa
AGO,2010,159625.23,23.356246,1.417133,906812.81,Sub-Saharan Africa
AGO,2011,201857.66,24.220661,1.4241962,1046118,Sub-Saharan Africa
AGO,2012,229563.23,25.107931,1.4312947,1107735.3,Sub-Saharan Africa
AGO,2013,242490.28,26.015781,1.4384285,1103819.4,Sub-Saharan Africa
AGO,2014,254874.67,26.941779,1.4455979,1219780.3,Sub-Saharan Africa
AGO,2015,224712.61,27.884381,1.452803,1204097.5,Sub-Saharan Africa
AGO,2016,218670.64,28.842489,1.460044,1149589.4,Sub-Saharan Africa
AGO,2017,230151.34,29.816766,1.4673212,1351656.1,Sub-Saharan Africa
AGO,2018,233805.06,30.809787,1.4746345,1360817.4,Sub-Saharan Africa
AGO,2019,227855.72,31.825295,1.4819844,1371321.3,Sub-Saharan Africa
AIA,1950,,,,,Latin America & Caribbean
AIA,1951,,,,,Latin America & Caribbean
AIA,1952,,,,,Latin America & Caribbean
AIA,1953,,,,,Latin America & Caribbean
AIA,1954,,,,,Latin America & Caribbean
AIA,1955,,,,,Latin America & Caribbean
AIA,1956,,,,,Latin America & Caribbean
AIA,1957,,,,,Latin America & Caribbean
AIA,1958,,,,,Latin America & Caribbean
AIA,1959,,,,,Latin America & Caribbean
AIA,1960,,,,,Latin America & Caribbean
AIA,1961,,,,,Latin America & Caribbean
AIA,1962,,,,,Latin America & Caribbean
AIA,1963,,,,,Latin America & Caribbean
AIA,1964,,,,,Latin America & Caribbean
AIA,1965,,,,,Latin America & Caribbean
AIA,1966,,,,,Latin America & Caribbean
AIA,1967,,,,,Latin America & Caribbean
AIA,1968,,,,,Latin America & Caribbean
AIA,1969,,,,,Latin America & Caribbean
AIA,1970,67.957024,.006771,,377.78812,Latin America & Caribbean
AIA,1971,66.283165,.006858,,409.14056,Latin America & Caribbean
AIA,1972,73.994904,.006948,,445.27222,Latin America & Caribbean
AIA,1973,77.081718,.007028,,482.34103,Latin America & Caribbean
AIA,1974,76.783012,.007102,,519.49744,Latin America & Caribbean
AIA,1975,79.403572,.007159,,556.33588,Latin America & Caribbean
AIA,1976,80.663528,.007206,,592.38983,Latin America & Caribbean
AIA,1977,80.969345,.007255,,629.31805,Latin America & Caribbean
AIA,1978,86.93837,.007284,,668.53864,Latin America & Caribbean
AIA,1979,94.914734,.007292,,713.73462,Latin America & Caribbean
AIA,1980,98.726196,.007285,,759.03333,Latin America & Caribbean
AIA,1981,103.32291,.007247,,810.06622,Latin America & Caribbean
AIA,1982,103.58571,.00719,,859.59247,Latin America & Caribbean
AIA,1983,101.85176,.007153,,899.63861,Latin America & Caribbean
AIA,1984,105.55425,.007173,,938.99573,Latin America & Caribbean
AIA,1985,116.00711,.007293,,985.3183,Latin America & Caribbean
AIA,1986,142.27345,.007518,,1059.7192,Latin America & Caribbean
AIA,1987,152.95334,.007842,,1152.9435,Latin America & Caribbean
AIA,1988,164.51787,.008213,,1218.3533,Latin America & Caribbean
AIA,1989,191.71948,.008582,,1298.6083,Latin America & Caribbean
AIA,1990,247.73856,.008899,,1395.8391,Latin America & Caribbean
AIA,1991,190.47807,.009135,,1447.7273,Latin America & Caribbean
AIA,1992,251.87057,.009332,,1531.1742,Latin America & Caribbean
AIA,1993,261.22577,.009493,,1593.1962,Latin America & Caribbean
AIA,1994,268.2851,.009664,,1659.4198,Latin America & Caribbean
AIA,1995,269.01688,.009866,,1730.0081,Latin America & Caribbean
AIA,1996,259.43457,.010117,,1803.9043,Latin America & Caribbean
AIA,1997,258.00873,.010388,,1874.5935,Latin America & Caribbean
AIA,1998,296.84128,.010684,,2000.1813,Latin America & Caribbean
AIA,1999,322.19351,.010971,,2174.0181,Latin America & Caribbean
AIA,2000,306.2326,.011252,,2330.9553,Latin America & Caribbean
AIA,2001,303.43738,.011515,,2437.1948,Latin America & Caribbean
AIA,2002,269.88177,.011761,,2495.1501,Latin America & Caribbean
AIA,2003,319.40353,.012001,,2567.6279,Latin America & Caribbean
AIA,2004,361.69363,.012233,,2702.8936,Latin America & Caribbean
AIA,2005,436.81375,.012453,,2890.0505,Latin America & Caribbean
AIA,2006,462.81845,.012661,,3147.6992,Latin America & Caribbean
AIA,2007,546.83557,.012868,,3543.5864,Latin America & Caribbean
AIA,2008,550.7511,.013063,,3978.4685,Latin America & Caribbean
AIA,2009,394.14737,.013258,,4073.1509,Latin America & Caribbean
AIA,2010,381.6828,.013438,,4100.5947,Latin America & Caribbean
AIA,2011,381.22275,.01362,,4075.6672,Latin America & Caribbean
AIA,2012,352.68924,.013795,,3655.8379,Latin America & Caribbean
AIA,2013,303.35425,.013954,,3300.0503,Latin America & Caribbean
AIA,2014,288.30304,.014112,,3035.8101,Latin America & Caribbean
AIA,2015,249.57132,.014279,,2850.427,Latin America & Caribbean
AIA,2016,225.61925,.014429,,2621.8562,Latin America & Caribbean
AIA,2017,195.63452,.014584,,2237.2373,Latin America & Caribbean
AIA,2018,150.34467,.014731,,2370.3928,Latin America & Caribbean
AIA,2019,225.68053,.014869,,2385.7419,Latin America & Caribbean
ALB,1950,,,,,Europe & Central Asia
ALB,1951,,,,,Europe & Central Asia
ALB,1952,,,,,Europe & Central Asia
ALB,1953,,,,,Europe & Central Asia
ALB,1954,,,,,Europe & Central Asia
ALB,1955,,,,,Europe & Central Asia
ALB,1956,,,,,Europe & Central Asia
ALB,1957,,,,,Europe & Central Asia
ALB,1958,,,,,Europe & Central Asia
ALB,1959,,,,,Europe & Central Asia
ALB,1960,,,,,Europe & Central Asia
ALB,1961,,,,,Europe & Central Asia
ALB,1962,,,,,Europe & Central Asia
ALB,1963,,,,,Europe & Central Asia
ALB,1964,,,,,Europe & Central Asia
ALB,1965,,,,,Europe & Central Asia
ALB,1966,,,,,Europe & Central Asia
ALB,1967,,,,,Europe & Central Asia
ALB,1968,,,,,Europe & Central Asia
ALB,1969,,,,,Europe & Central Asia
ALB,1970,6697.4917,2.150707,1.5587919,24195.67,Europe & Central Asia
ALB,1971,6958.4961,2.202189,1.5867927,25478.498,Europe & Central Asia
ALB,1972,7246.0381,2.254056,1.6152965,26841.973,Europe & Central Asia
ALB,1973,7536.6055,2.30629,1.6443123,28242.49,Europe & Central Asia
ALB,1974,7855.124,2.358846,1.6738492,29784.926,Europe & Central Asia
ALB,1975,8164.3711,2.411732,1.7039168,31313.83,Europe & Central Asia
ALB,1976,8459.7861,2.464983,1.739009,32858.25,Europe & Central Asia
ALB,1977,8818.585,2.518685,1.7734824,34542.078,Europe & Central Asia
ALB,1978,9209.292,2.57285,1.8086392,36206.109,Europe & Central Asia
ALB,1979,9454.9375,2.627505,1.8444928,38115.273,Europe & Central Asia
ALB,1980,9964.9619,2.68269,1.8810573,39936.035,Europe & Central Asia
ALB,1981,10363.251,2.737026,1.9506222,42014.676,Europe & Central Asia
ALB,1982,10391.983,2.790275,2.0227599,44387.789,Europe & Central Asia
ALB,1983,10741.691,2.844871,2.0975652,46400.07,Europe & Central Asia
ALB,1984,10857.104,2.90414,2.175137,48571.449,Europe & Central Asia
ALB,1985,10957.039,2.969672,2.2555776,50552.809,Europe & Central Asia
ALB,1986,11511.299,3.044212,2.3054399,52593.051,Europe & Central Asia
ALB,1987,11730.335,3.124894,2.3564048,54594.535,Europe & Central Asia
ALB,1988,11490.504,3.200977,2.4084961,56584.938,Europe & Central Asia
ALB,1989,12432.41,3.257925,2.4617391,58894.531,Europe & Central Asia
ALB,1990,12096.719,3.286073,2.5161588,61056.902,Europe & Central Asia
ALB,1991,10822.848,3.280395,2.5157332,59704.402,Europe & Central Asia
ALB,1992,9767.3682,3.245886,2.5153079,58528.246,Europe & Central Asia
ALB,1993,11222.619,3.195199,2.5148826,58332.199,Europe & Central Asia
ALB,1994,12672.19,3.146519,2.5144572,58954.852,Europe & Central Asia
ALB,1995,13669.631,3.112936,2.5140319,59727.852,Europe & Central Asia
ALB,1996,15067.375,3.0987,2.5811894,60936.039,Europe & Central Asia
ALB,1997,14072.31,3.099752,2.6345043,61219.609,Europe & Central Asia
ALB,1998,15531.704,3.110682,2.6889203,62256.117,Europe & Central Asia
ALB,1999,16525.398,3.122697,2.7444601,62443.047,Europe & Central Asia
ALB,2000,16633.271,3.129243,2.8011475,64886.508,Europe & Central Asia
ALB,2001,17293.777,3.129704,2.8150897,67135.781,Europe & Central Asia
ALB,2002,17619.768,3.126187,2.8291016,69969.477,Europe & Central Asia
ALB,2003,18275.127,3.118023,2.8431833,73819.273,Europe & Central Asia
ALB,2004,18750.121,3.104892,2.8573349,78298.453,Europe & Central Asia
ALB,2005,20162.416,3.08681,2.8715568,83766.805,Europe & Central Asia
ALB,2006,21773.834,3.063021,2.8780317,108180.1,Europe & Central Asia
ALB,2007,23260.232,3.033998,2.8845215,118847.38,Europe & Central Asia
ALB,2008,25868.791,3.002678,2.8910255,132814.69,Europe & Central Asia
ALB,2009,27709.9,2.973048,2.8975446,147522.81,Europe & Central Asia
ALB,2010,31021.064,2.948023,2.904078,163120.38,Europe & Central Asia
ALB,2011,31369.516,2.928592,2.9106934,173394.25,Europe & Central Asia
ALB,2012,32366.191,2.914096,2.9173462,163361.38,Europe & Central Asia
ALB,2013,30914.691,2.90379,2.924037,170890.86,Europe & Central Asia
ALB,2014,32090.506,2.896305,2.9307659,211204.39,Europe & Central Asia
ALB,2015,33659.422,2.890513,2.9375334,209133.08,Europe & Central Asia
ALB,2016,33697.977,2.886438,2.9443393,219219.45,Europe & Central Asia
ALB,2017,34974.945,2.884169,2.9511843,217175.75,Europe & Central Asia
ALB,2018,35363.469,2.88274,2.9580684,224225.02,Europe & Central Asia
ALB,2019,36103.043,2.880917,2.964992,229818.33,Europe & Central Asia
ARE,1950,,,,,Middle East & North Africa
ARE,1951,,,,,Middle East & North Africa
ARE,1952,,,,,Middle East & North Africa
ARE,1953,,,,,Middle East & North Africa
ARE,1954,,,,,Middle East & North Africa
ARE,1955,,,,,Middle East & North Africa
ARE,1956,,,,,Middle East & North Africa
ARE,1957,,,,,Middle East & North Africa
ARE,1958,,,,,Middle East & North Africa
ARE,1959,,,,,Middle East & North Africa
ARE,1960,,,,,Middle East & North Africa
ARE,1961,,,,,Middle East & North Africa
ARE,1962,,,,,Middle East & North Africa
ARE,1963,,,,,Middle East & North Africa
ARE,1964,,,,,Middle East & North Africa
ARE,1965,,,,,Middle East & North Africa
ARE,1966,,,,,Middle East & North Africa
ARE,1967,,,,,Middle East & North Africa
ARE,1968,,,,,Middle East & North Africa
ARE,1969,,,,,Middle East & North Africa
ARE,1970,70528.656,.234514,1.376651,292893.59,Middle East & North Africa
ARE,1971,80634.156,.277471,1.3981539,305163.88,Middle East & North Africa
ARE,1972,75736.68,.330974,1.4199927,323810.16,Middle East & North Africa
ARE,1973,85912.672,.394624,1.4421725,336189.47,Middle East & North Africa
ARE,1974,84504.914,.467451,1.4646988,345186.13,Middle East & North Africa
ARE,1975,107625.23,.5483009999999999,1.487577,381531.28,Middle East & North Africa
ARE,1976,130003.2,.637922,1.5126897,425213.31,Middle East & North Africa
ARE,1977,168902.23,.735344,1.5382265,488762.75,Middle East & North Africa
ARE,1978,163283.23,.8355079999999999,1.5641943,563039.69,Middle East & North Africa
ARE,1979,195976.98,.9317489999999999,1.5906005,637315.94,Middle East & North Africa
ARE,1980,307906.19,1.019509,1.6174525,706333.56,Middle East & North Africa
ARE,1981,296486.38,1.09661,1.6562841,772732.38,Middle East & North Africa
ARE,1982,271746.25,1.164806,1.6960479,835798.19,Middle East & North Africa
ARE,1983,249619.75,1.228459,1.7299259,893719.31,Middle East & North Africa
ARE,1984,252610.28,1.293971,1.7611381,950095.56,Middle East & North Africa
ARE,1985,236821.48,1.366164,1.7929134,995125.5,Middle East & North Africa
ARE,1986,197967.34,1.44638,1.8351694,1035986.4,Middle East & North Africa
ARE,1987,171289.86,1.533536,1.8784213,1065331,Middle East & North Africa
ARE,1988,193512.17,1.627066,1.9226925,1096200.8,Middle East & North Africa
ARE,1989,225003.06,1.725681,1.9680071,1130938.3,Middle East & North Africa
ARE,1990,264832.56,1.828432,2.0143898,1163435.3,Middle East & North Africa
ARE,1991,245704.52,1.937153,2.0747252,1197705.4,Middle East & North Africa
ARE,1992,256309.73,2.052891,2.136868,1246695.8,Middle East & North Africa
ARE,1993,207498.23,2.173139,2.2008719,1269188.9,Middle East & North Africa
ARE,1994,219874.98,2.294385,2.266793,1300252.5,Middle East & North Africa
ARE,1995,242377,2.41509,2.3346884,1335225.1,Middle East & North Africa
ARE,1996,256809.56,2.539126,2.3920248,1373823,Middle East & North Africa
ARE,1997,275635.5,2.671362,2.4507689,1418472.6,Middle East & North Africa
ARE,1998,265041,2.813214,2.5109558,1468511.4,Middle East & North Africa
ARE,1999,285782.16,2.966034,2.5684843,1516082.3,Middle East & North Africa
ARE,2000,347880.81,3.134062,2.6107841,1563042.1,Middle East & North Africa
ARE,2001,360040.34,3.302719,2.6286857,1614372.1,Middle East & North Africa
ARE,2002,359247.03,3.478777,2.6467106,1671885.5,Middle East & North Africa
ARE,2003,392890.53,3.711932,2.6648588,1741852.3,Middle East & North Africa
ARE,2004,424113.72,4.06857,2.6831317,1815872.3,Middle East & North Africa
ARE,2005,502143.5,4.588225,2.7015295,1909510.5,Middle East & North Africa
ARE,2006,591368.31,5.300174,2.7047029,2014161.1,Middle East & North Africa
ARE,2007,646524,6.168838,2.7078795,2174954.5,Middle East & North Africa
ARE,2008,712872.06,7.089487,2.7110603,2332290.3,Middle East & North Africa
ARE,2009,593725.81,7.917371999999999,2.7142444,2493885.8,Middle East & North Africa
ARE,2010,618895.25,8.549987999999999,2.7174327,2619715,Middle East & North Africa
ARE,2011,726414.69,8.946776999999999,2.7206433,2741501.8,Middle East & North Africa
ARE,2012,777423.63,9.141596,2.7238641,2612142.8,Middle East & North Africa
ARE,2013,771047.94,9.19791,2.7270949,2564190.3,Middle East & North Africa
ARE,2014,798546.19,9.214174999999999,2.730336,3567263.3,Middle East & North Africa
ARE,2015,693186.19,9.2629,2.733587,4088713.8,Middle East & North Africa
ARE,2016,670879.69,9.36098,2.7368486,4157003.5,Middle East & North Africa
ARE,2017,629800.5,9.487202999999999,2.7401202,4287270.5,Middle East & North Africa
ARE,2018,633896.63,9.630958999999999,2.7434022,4396408.5,Middle East & North Africa
ARE,2019,645956.25,9.770529,2.7466948,4510359.5,Middle East & North Africa
ARG,1950,50108.762,17.09182388785006,1.8165029,59449.367,Latin America & Caribbean
ARG,1951,51339.168,17.45757808235338,1.8307689,65330.941,Latin America & Caribbean
ARG,1952,46855.102,17.81596651653562,1.8451471,69985.563,Latin America & Caribbean
ARG,1953,49917.148,18.16861821145361,1.8596382,74549.844,Latin America & Caribbean
ARG,1954,52254.77,18.51716789068828,1.874243,78962.32,Latin America & Caribbean
ARG,1955,56072.5,18.86324457529643,1.8889626,83983.25,Latin America & Caribbean
ARG,1956,57550.316,19.205762884854,1.9017683,88195.984,Latin America & Caribbean
ARG,1957,60560.367,19.54363363725413,1.914661,91419.375,Latin America & Caribbean
ARG,1958,65162.113,19.87848775439502,1.927641,96986.047,Latin America & Caribbean
ARG,1959,61388.016,20.21195805901625,1.9407092,100411.37,Latin America & Caribbean
ARG,1960,65991.281,20.5456735721746,1.9538658,107962.96,Latin America & Caribbean
ARG,1961,68127.414,20.87910585996836,1.9649278,116128.47,Latin America & Caribbean
ARG,1962,69384.203,21.21116954197343,1.9760525,122319.69,Latin America & Caribbean
ARG,1963,66981.188,21.54265536820105,1.9872403,126199.75,Latin America & Caribbean
ARG,1964,70325.313,21.87435979118658,1.9984914,132449.81,Latin America & Caribbean
ARG,1965,79025.891,22.20707736262402,2.0098062,138598.13,Latin America & Caribbean
ARG,1966,80755.508,22.53446117316831,2.0227134,144098.47,Latin America & Caribbean
ARG,1967,83494.258,22.85598088807635,2.0357034,149583.06,Latin America & Caribbean
ARG,1968,85935.945,23.18115592094501,2.0487769,155984,Latin America & Caribbean
ARG,1969,94348.563,23.51950948705393,2.0619342,165282.27,Latin America & Caribbean
ARG,1970,97105.688,23.880561,2.0751762,175525.13,Latin America & Caribbean
ARG,1971,100012.82,24.259561,2.0964634,186537.16,Latin America & Caribbean
ARG,1972,101742.7,24.653175,2.117969,196171.42,Latin America & Caribbean
ARG,1973,107506.16,25.056478,2.1396952,204491.28,Latin America & Caribbean
ARG,1974,112594.11,25.462302,2.1616442,213876.83,Latin America & Caribbean
ARG,1975,111144.59,25.865776,2.1838183,222502.56,Latin America & Caribbean
ARG,1976,111303.88,26.264681,2.1969063,229548.11,Latin America & Caribbean
ARG,1977,118831.18,26.661398,2.210073,242399.95,Latin America & Caribbean
ARG,1978,117131.97,27.061047,2.2233183,251840.14,Latin America & Caribbean
ARG,1979,124635.41,27.471036,2.2366431,264545.25,Latin America & Caribbean
ARG,1980,125315.27,27.896528,2.2500477,277379.25,Latin America & Caribbean
ARG,1981,126380.73,28.338515,2.283164,288231.97,Latin America & Caribbean
ARG,1982,132655.06,28.794548,2.3167679,300059.47,Latin America & Caribbean
ARG,1983,143819.58,29.262047,2.3508666,315382.41,Latin America & Caribbean
ARG,1984,153307.53,29.737093,2.3854668,336801.47,Latin America & Caribbean
ARG,1985,149748.69,30.216279,2.4205763,363683.5,Latin America & Caribbean
ARG,1986,166668.47,30.698964,2.4418883,400195.22,Latin America & Caribbean
ARG,1987,177435.28,31.184415,2.4633882,450024.75,Latin America & Caribbean
ARG,1988,188858.36,31.668949,2.4850771,514488.91,Latin America & Caribbean
ARG,1989,181887,32.148134,2.5069571,593162.75,Latin America & Caribbean
ARG,1990,204212.69,32.618651,2.5290296,688641.75,Latin America & Caribbean
ARG,1991,240402,33.079,2.552568,820000.56,Latin America & Caribbean
ARG,1992,283126.84,33.529326,2.5709739,1005502.4,Latin America & Caribbean
ARG,1993,325027.75,33.970111,2.58706,1246331.5,Latin America & Caribbean
ARG,1994,378639.94,34.402672,2.6032465,1529539.9,Latin America & Caribbean
ARG,1995,424478.75,34.82817,2.6195345,1785510.3,Latin America & Caribbean
ARG,1996,548784.88,35.246374,2.6270239,1927902.4,Latin America & Caribbean
ARG,1997,566384.25,35.657429,2.6345346,1980085.9,Latin America & Caribbean
ARG,1998,565211.81,36.063459,2.642067,2011836,Latin America & Caribbean
ARG,1999,532079.69,36.467218,2.6496208,1998675.4,Latin America & Caribbean
ARG,2000,528448.75,36.870787,2.657196,1958924.1,Latin America & Caribbean
ARG,2001,496567.28,37.275652,2.6830029,1908897.6,Latin America & Caribbean
ARG,2002,425342.16,37.681749,2.70906,1804633.1,Latin America & Caribbean
ARG,2003,461437.06,38.087868,2.7353704,1784050.3,Latin America & Caribbean
ARG,2004,504759,38.491972,2.7619362,1797717.6,Latin America & Caribbean
ARG,2005,548929.19,38.892931,2.7887602,1847660,Latin America & Caribbean
ARG,2006,599530.13,39.289878,2.7969754,1943604.5,Latin America & Caribbean
ARG,2007,665477.25,39.684295,2.8052146,2122918.3,Latin America & Caribbean
ARG,2008,718254.63,40.08016,2.8134782,2376898.3,Latin America & Caribbean
ARG,2009,684293.31,40.482788,2.8217661,2614003.8,Latin America & Caribbean
ARG,2010,784810.13,40.895752,2.8300784,2876207.3,Latin America & Caribbean
ARG,2011,882632.38,41.3205,2.8585422,3099233.8,Latin America & Caribbean
ARG,2012,902396,41.755196,2.8872924,3156028.8,Latin America & Caribbean
